Year,New Exchanges,Names
2011,2,"Kraken, Bitstamp"
2012,2,"Bitfinex, Coincheck"
2013,10,"CEX.IO, HitBTC, Coinmate, HTX, Independent Reserve, BTC Markets, BtcTurk | Kripto, Mercado Bitcoin, Gate.io, CoinJar"
2014,20,"Poloniex, Indodax, Zaif, zondacrypto, Coinbase Exchange, YoBit, Bitso, BTCBOX, bitFlyer, Coinone, Bithumb, Bitbank, Altcoin Trader, C-Patex, Fatbtc, Remitano, Jubi, Foxbit, Bit2Me, Coins.ph"
2015,6,"EXMO, Gemini, Mercatox, Buda, EXMO.ME, ChangeNOW"
2016,4,"Kuna, BTC-Alpha, LBank, BitHash"
2017,23,"Luno, Tidex, Paribu, StellarTerm, LocalTrade, Binance, OKX, KuCoin, Orbix, BigONE, GOPAX, Bibox, CoinEx, Upbit, Bitbns, LATOKEN, Cryptonex, Coinmetro, CoinW, BITEXLIVE, Hotcoin, SWFT Trade, BiKing"
2018,50,"Dex-Trade, P2B, TradeOgre, BitMart, DigiFinex, Bilaxy, ABCC, Bitrue, Bitkub, Cryptology, AscendEX (BitMax), Coinsbit, ProBit Global, Dcoin, Cat.Ex, Polyx, Tokenize Xchange, WhiteBIT, Bitget, Finexbox, Bybit, XT.COM, MEXC, CITEX, SecondBTC, BitStorage, Bitci TR, BankCEX, NovaDAX, BTSE, Tokocrypto, BitoPro, Reku, ACE, MAX Exchange, Bitay, CoinDCX, BingX, Uniswap v2, Bitexen, LMAX Digital, Deepcoin, Tokpie, LCX Exchange, Quidax, Batonex, WEEX, Bitlo, BVOX, Bitop"
2019,25,"VinDAX, Bitvavo, IndoEx, Ecxx, Binance.US, TimeX, Currency.com, Emirex, Pionex, BCEX Korea, Nominex, Tokenlon, Qmall Exchange, VALR, Biconomy Exchange, Phemex, Ripio Trade, Azbit, Crypto.com Exchange, Gleec BTC, FameEX, WOO X, NexDAX, HKD.com, Bitcastle"
2020,24,"Mandala Exchange, Bitspay, CoinZoom, Curve (Ethereum), Sunswap v2, Changelly PRO, Bitcoiva, TruBit Pro Exchange, SushiSwap (Ethereum), KoinBX, BIT, BYDFi, PointPay, Venus, OpenOcean, Binance TR, OKCoin Japan, ICRYPEX, QuickSwap v3 (Polygon), Flipster, DOEX, Topcredit Int, CoinLion, Ourbit"
2021,32,"THORChain, Raydium, Uniswap v3 (Ethereum), Globe Derivative Exchange, Coinstore, Kine Protocol, Uniswap v3 (Optimism), Orca, Osmosis, Trader Joe (Avalanche), VVS Finance, xExchange, Helix, Uniswap v3 (Polygon), Dexalot, Bullish, Jupiter, Tapbit, WOOFi, DIFX, SuperEx, Fairdesk, Bitunix, GMX (Arbitrum), GMX (Avalanche), XeggeX, BIKA, OrangeX, FMCPAY, Zedxion Exchange, KCEX, CoinUp.io"
2022,16,"Saber DEX, WigoSwap, DeDust, STON.fi, Toobit, Fastex, CoinCatch, BITFLEX, Millionero, UEEx, BlueBit, Hibt, B2Z Exchange, BiFinance, ZKE, Niza Global"
2023,22,"THENA FUSION, BloFin, Koinpark, Coinbase International Exchange, Salavi Exchange, Aerodrome Finance, ONUS Pro, Websea, UZX, Zedcex Exchange, 4E, GroveX, DeGate, BitDelta, Bitoy, Backpack Exchange, Welcoin, Slex Exchange, Binance TH, Koinbay, Cube Exchange, Coin8 Exchange"
2024,4,"AlphaX, HashKey Global, FutureX Pro, Cellana Finance"
